user_id,age_group,gender,profession,hours_spending,musical_aspect,song_id
10322,18 - 24,Female,Student,0 - 1,The message of the song,294
10323,25 - 34,Female,Engineer,0 - 1,Music,79
10323,25 - 34,Female,Engineer,0 - 1,Music,234
10323,25 - 34,Female,Engineer,0 - 1,Music,174
10326,25 - 34,Female,Engineer,0 - 1,Music,140
10327,25 - 34,Female,Engineer,0 - 1,Music,113
10328,25 - 34,Female,Engineer,0 - 1,Music,235
10327,25 - 34,Female,Engineer,0 - 1,Music,229
10330,25 - 34,Female,Engineer,0 - 1,Music,49
10327,25 - 34,Female,Engineer,0 - 1,Music,295
10332,25 - 34,Female,Engineer,0 - 1,Music,91
10327,25 - 34,Female,Engineer,0 - 1,Music,43
10334,25 - 34,Female,Engineer,0 - 1,Music,277
10335,25 - 34,Male,Engineer,1 - 3,The message of the song,79
10336,18 - 24,Female,Student,0 - 1,The instrument being used,187
10337,18 - 24,Male,medical student,0 - 1,Music,264
10337,18 - 24,Male,medical student,0 - 1,Music,171
10339,18 - 24,Male,Student,0 - 1,The instrument being used,207
10340,18 - 24,Male,Student,0 - 1,The instrument being used,31
10341,25 - 34,Female,Associate Software Engineer,more than 5,Music,166
10341,25 - 34,Female,Associate Software Engineer,more than 5,Music,284
10343,25 - 34,Female,Associate Software Engineer,more than 5,Music,37
10344,18 - 24,Female,Student,1 - 3,Music,79
10345,18 - 24,Female,Student,0 - 1,The singer's voice,174
10345,18 - 24,Female,Student,0 - 1,The singer's voice,170
10345,18 - 24,Female,Student,0 - 1,The singer's voice,165
10348,18 - 24,Female,Student,0 - 1,All,79
10349,18 - 24,Female,Student,0 - 1,All,107
10349,18 - 24,Female,Student,0 - 1,All,254
10349,18 - 24,Female,Student,0 - 1,All,52
10349,18 - 24,Female,Student,0 - 1,All,296
10353,18 - 24,Female,Student,0 - 1,All,196
10354,18 - 24,Female,Student,0 - 1,All,246
10355,18 - 24,Female,Student,0 - 1,All,1
10355,18 - 24,Female,Student,0 - 1,All,73
10355,18 - 24,Female,Student,0 - 1,All,310
10355,18 - 24,Female,Student,0 - 1,All,213
10359,18 - 24,Male,Student,1 - 3,The instrument being used,35
10360,18 - 24,Female,Student,0 - 1,The singer's voice,174
10361,18 - 24,Female,Student,0 - 1,The singer's voice,297
10361,18 - 24,Female,Student,0 - 1,The singer's voice,8
10361,18 - 24,Female,Student,0 - 1,The singer's voice,186
10361,18 - 24,Female,Student,0 - 1,The singer's voice,210
10365,18 - 24,Female,Student,0 - 1,The singer's voice,76
10366,18 - 24,Female,Student,0 - 1,The singer's voice,172
10367,18 - 24,Female,Student,0 - 1,The singer's voice,262
10367,18 - 24,Female,Student,0 - 1,The singer's voice,127
10367,18 - 24,Female,Student,0 - 1,The singer's voice,86
10367,18 - 24,Female,Student,0 - 1,The singer's voice,110
10367,18 - 24,Female,Student,0 - 1,The singer's voice,106
10372,18 - 24,Female,Student,0 - 1,The singer's voice,200
10373,18 - 24,Female,Student,0 - 1,The singer's voice,206
10374,18 - 24,Female,Student,0 - 1,The singer's voice,252
10375,18 - 24,Female,Student,0 - 1,The singer's voice,144
10376,18 - 24,Female,Student,0 - 1,The singer's voice,248
10374,18 - 24,Female,Student,0 - 1,The singer's voice,192
10378,18 - 24,Female,Student,0 - 1,The singer's voice,309
10379,18 - 24,Female,Student,0 - 1,The singer's voice,73
10380,18 - 24,Female,Student,0 - 1,The singer's voice,8
10379,18 - 24,Female,Student,0 - 1,The singer's voice,14
10374,18 - 24,Female,Student,0 - 1,The singer's voice,80
10383,18 - 24,Female,Student,0 - 1,The singer's voice,49
10384,25 - 34,Male,Implementation engineer,more than 5,The singer's voice,26
10384,25 - 34,Male,Implementation engineer,more than 5,The singer's voice,210
10386,18 - 24,Female,Student,3 - 5,The singer's voice,113
10387,18 - 24,Female,Student,3 - 5,The singer's voice,140
10387,18 - 24,Female,Student,3 - 5,The singer's voice,79
10387,18 - 24,Female,Student,3 - 5,The singer's voice,268
10390,18 - 24,Female,Student,3 - 5,The singer's voice,228
10391,18 - 24,Female,Student,0 - 1,The singer's voice,308
10392,18 - 24,Male,student,1 - 3,The singer's voice,164
10393,18 - 24,Male,student,1 - 3,The singer's voice,218
10394,18 - 24,Male,student,1 - 3,The singer's voice,64
10393,18 - 24,Male,student,1 - 3,The singer's voice,26
10396,18 - 24,Male,student,1 - 3,The singer's voice,307
10397,18 - 24,Female,Student,0 - 1,Music,196
10398,18 - 24,Female,Student,1 - 3,The message of the song,79
10399,18 - 24,Female,Student,1 - 3,The message of the song,174
10400,18 - 24,Female,Student,1 - 3,The message of the song,263
10399,18 - 24,Female,Student,1 - 3,The message of the song,88
10399,18 - 24,Female,Student,1 - 3,The message of the song,306
10399,18 - 24,Female,Student,1 - 3,The message of the song,81
10404,18 - 24,Female,Student,1 - 3,The message of the song,93
10405,18 - 24,Female,Student,1 - 3,The message of the song,298
10405,18 - 24,Female,Student,1 - 3,The message of the song,225
10405,18 - 24,Female,Student,1 - 3,The message of the song,217
10405,18 - 24,Female,Student,1 - 3,The message of the song,20
10405,18 - 24,Female,Student,1 - 3,The message of the song,150
10410,18 - 24,Female,Student,1 - 3,The message of the song,253
10410,18 - 24,Female,Student,1 - 3,The message of the song,21
10412,18 - 24,Female,Student,1 - 3,The message of the song,145
10413,18 - 24,Female,Student,1 - 3,The message of the song,140
10413,18 - 24,Female,Student,1 - 3,The message of the song,174
10415,18 - 24,Female,Student,1 - 3,The message of the song,175
10416,18 - 24,Female,Student,1 - 3,The message of the song,129
10416,18 - 24,Female,Student,1 - 3,The message of the song,48
10418,18 - 24,Female,Student,1 - 3,The message of the song,298
10419,18 - 24,Female,Student,1 - 3,The message of the song,221
