user_id,age_group,gender,profession,hours_spending,musical_aspect,listened_songs,song_id
10184,18 - 24,Female,University student,0 - 1,Music,hanthanata payana sanda,48
10185,18 - 24,Male,Student,3 - 5,The singer's voice,Prathihari,227
10186,18 - 24,Female,Undergraduate student,3 - 5,Music,Adaraya ayayi,7
10187,25 - 34,Male,Accountant,0 - 1,The message of the song,Kuweniye,79
10188,25 - 34,Male,Accountant,0 - 1,The message of the song,Mihirawa awa,110
10189,18 - 24,Female,Student,more than 5,Music,Hitha hiri watunado,55
10190,18 - 24,Female,Medical student,0 - 1,The singer's voice,Hethuwa,266
10191,18 - 24,Female,Medical student,0 - 1,The singer's voice,Chakithaya,24
10192,18 - 24,Female,student,,All,Sasthara,267
10193,18 - 24,Female,student,,All,kawiya,76
10194,18 - 24,Female,student,,All,prathihari,227
10195,18 - 24,Female,student,,All,athsana,264
10196,18 - 24,Female,student,,All,kampa nowan mahamaya,229
10197,18 - 24,Female,student,,All,sandaganawa,174
10198,18 - 24,Female,student,,All,pandama,140
10199,18 - 24,Female,student,,All,naukawa,268
10200,18 - 24,Female,student,,All,kshemaye nagare,269
10201,18 - 24,Female,student,,All,kuweniye,79
10202,18 - 24,Female,student,,All,sandawathiye,176
10203,25 - 34,Male,Software Quality Engineer,1 - 3,The singer's voice,Hiinamaka,270
10204,45 - 54,Male,Engineer,0 - 1,The singer's voice,Athinwath atha,271
10205,45 - 54,Male,Engineer,0 - 1,The singer's voice,Hanthanata payana sada,48
10206,45 - 54,Male,Engineer,0 - 1,The singer's voice,Hanthana sihine,47
10207,18 - 24,Male,Engineer,1 - 3,The instrument being used,Sonduru atheeethaye,193
10208,18 - 24,Female,Student,0 - 1,The message of the song,Pera wadanak wi mage kathawata,145
10209,18 - 24,Female,Student,0 - 1,The message of the song,Sansara sihine,236
10210,18 - 24,Female,Student,0 - 1,The message of the song,Kath kawruwath nathi bawa dana dana ,72
10211,18 - 24,Female,Student,0 - 1,The message of the song,ko ma pathu nube adare,272
10212,18 - 24,Female,Student,0 - 1,The message of the song,Iki gasa hadana,61
10213,25 - 34,Male,Banker,1 - 3,The message of the song,Oba haa mema,131
10214,25 - 34,Male,Banker,1 - 3,The message of the song,Obage mathaken ,136
10215,25 - 34,Male,Banker,1 - 3,The message of the song,Ahasin polowata,273
10216,25 - 34,Male,Banker,1 - 3,The message of the song,Mathakaya asurin,100
10217,25 - 34,Male,Student,1-3,The singer's voice,Pandama,140
10218,25 - 34,Male,Student,1-3,The singer's voice,Sandaganawa,174
10219,25 - 34,Male,Student,1-3,The singer's voice,Saragaye,179
10220,25 - 34,Male,Student,1-3,The singer's voice,Sansara Sihinaye,178
10221,25 - 34,Male,Student,1-3,The singer's voice,Ciao Malli,274
10222,25 - 34,Male,Student,1-3,The singer's voice,Pama Wee,139
10223,25 - 34,Male,Student,1-3,The singer's voice,Arabumama Kadulk wela,15
10224,25 - 34,Male,Student,1-3,The singer's voice,Premaye wil there ,275
10225,25 - 34,Male,Student,1-3,The singer's voice,Marambari,96
10226,25 - 34,Male,Student,1-3,The singer's voice,Muwa muktha latha,276
10227,25 - 34,Male,Student,1-3,The singer's voice,Dasin Paa,31
10228,25 - 34,Male,Student,1-3,The singer's voice,Mata Rawana,277
10229,25 - 34,Male,Student,1-3,The singer's voice,Sudu Gawuma,199
10230,25 - 34,Male,Student,1-3,The singer's voice, Oba Enna Aye,278
10231,25 - 34,Male,Student,1-3,The singer's voice,Perawadanak,145
10232,25 - 34,Male,Student,1-3,The singer's voice, Sadanari ,175
10233,25 - 34,Male,Student,1-3,The singer's voice,Nura Wasanthe,127
10234,25 - 34,Male,Student,1-3,The singer's voice,Mayam Kalawe,102
10235,25 - 34,Male,Student,1-3,The singer's voice,Etha kandukara,279
10236,25 - 34,Male,Student,1-3,The singer's voice,Billa,22
10237,25 - 34,Male,Student,1-3,The singer's voice,Dewiyo Wadee,35
10238,25 - 34,Male,Student,1-3,The singer's voice,Kwikariye,75
10239,25 - 34,Male,Student,1-3,The singer's voice,hini peththta,280
10240,25 - 34,Male,Student,1-3,The singer's voice,Mage sihine obai,281
10241,25 - 34,Male,Student,1-3,The singer's voice,kiri kodu,77
10242,25 - 34,Male,Student,1-3,The singer's voice,Ai kale ,282
10243,25 - 34,Male,Student,1-3,The singer's voice,chandryan pidu,26
10244,18 - 24,Female,Student,0 - 1,Music,Pandama,140
10245,18 - 24,Female,Student,0 - 1,The singer's voice,Hiru mal,52
10246,18 - 24,Female,Student,0 - 1,The singer's voice,daffodil male,259
10247,18 - 24,Female,Student,0 - 1,The singer's voice,Chandani Payala,25
10248,18 - 24,Female,Student,0 - 1,The singer's voice,Dedunna Sedi,32
10249,18 - 24,Female,Undergraduate,1 - 3,The message of the song,Landune,81
10250,25 - 34,Male,Software Developer,0 - 1,Music,Aradhana,211
10251,25 - 34,Male,Software Developer,0 - 1,Music,Wika Sitha Pem,217
10252,25 - 34,Male,Software Developer,0 - 1,Music,Iki gasa hadana,61
10253,25 - 34,Male,Software Developer,0 - 1,Music,Adarema geethayak,9
10254,25 - 34,Male,Software Developer,0 - 1,Music,Unmaada Wu Premadare,208
10255,25 - 34,Male,Software Developer,0 - 1,Music,Tiken Tika Tiken Tika,207
10256,25 - 34,Male,Software Developer,0 - 1,Music,Tharanaya,204
