song_id,Title,Artist,Artist_id,Album,Genre
199,Sudu Gawma,Lahiru Perera ft Nathasha Perera,12,,
200,Sulagak Wela Oba Soya Enna One,Shihan Mihiranga,62,,
201,Sulanga Obada,Kasun Kalhara,5,,
202,Surath Suwaya(Nil Warala Pura),Supun Perera ft Charitha Attalage,37,,
286,Suwada saban anga gaala,Ravindra Yasas,135,,
203,Thanhawa Pirila,Cairo Rich ft.Aj Leon,44,Black Heart,
204,Tharanaya,Master D ft. Dota Yums,136,,
205,Tharuka Pelin Eha,Athula Adikari & Samitha Mudunkotuwa,22,,
263,Thawa dawasak,Keerthi Pasquel,38,,
206,Thurul Wenna Asai,Bathiya n Santhush,79,,
207,Tiken Tika Tiken Tika,Daddy,4,,
240,Ulkapathayak,Indrachapa Liyanage,14,,
233,Unmada chithra,Kavindya Adikari & Sahan Chamikara,137,,
208,Unmada Wu Premadare ,Kamal Addaraarachchi & Maya Damayanthi,32,,
210,Unmadini Hanguna,Bathiya n Santhush,79,,
211,Unuhuma 2-Aradhana,Tehan Perera,75,,
212,Wakkada Langa(Kaluu),W D Amaradeva,17,,
300,Wala thiryen eha,T.M.Jayaratne,9,,
213,Walithara Athare Himihita Basina,W D Amaradeva,17,,
214,Wasanthaye Aga Hamuwemu Sonduriya,Edward Jayakody,24,,
310,Wasanthaye Pipidena Mal,Bathiya n Santhush,79,Wasanthaye,
215,Wassama,Bathiya & Santhush ft. ADK,79,Oba Nisa (White Edition),
216,Wassanayata Atha Wanala,Umara Singhawansha,87,,
217,Wikasitha Pem Pokuru Piyum,W D Amaradeva,17,,
218,Yaal Panamen,BnS & Hariharan,79,,
219,Yakkun Pitiyata,YAKA Crew,65,,
